Name,GP,G,A,TP,PPG,PIM,Period,Years,POS
Mark Stuart,673.0,26.0,67.0,93.0,0.138,722.0,2005-2017,12.0,D
George Prodger,111.0,63.0,29.0,92.0,0.8290000000000001,39.0,1919-1925,6.0,D
Albert Leduc,383.0,57.0,35.0,92.0,0.24,614.0,1925-1935,10.0,D
Reggie Sinclair,208.0,49.0,43.0,92.0,0.442,139.0,1950-1953,3.0,F
Colton Sissons,322.0,46.0,46.0,92.0,0.28600000000000003,113.0,2013-2021,7.0,C/W
Ronald Petrovicky,342.0,41.0,51.0,92.0,0.26899999999999996,429.0,2000-2007,6.0,RW
Larry Mickey,292.0,39.0,53.0,92.0,0.315,160.0,1964-1975,11.0,RW
Al Karlander,212.0,36.0,56.0,92.0,0.434,70.0,1969-1973,4.0,C
Ken Yaremchuk,235.0,36.0,56.0,92.0,0.391,106.0,1983-1989,6.0,C
Rick Chartraw,420.0,28.0,64.0,92.0,0.21899999999999997,399.0,1974-1984,10.0,D
Charlie McAvoy,184.0,19.0,73.0,92.0,0.5,139.0,2016-2021,5.0,D
Peter Taglianetti,451.0,18.0,74.0,92.0,0.204,1106.0,1984-1995,11.0,D
Al MacNeil,524.0,17.0,75.0,92.0,0.17600000000000002,617.0,1955-1968,11.0,D
Neil Komadoski,502.0,16.0,76.0,92.0,0.183,602.0,1972-1980,8.0,D
Shane O'Brien,537.0,13.0,79.0,92.0,0.171,916.0,2006-2015,9.0,D
Nick Wasnie,248.0,57.0,34.0,91.0,0.36700000000000005,176.0,1927-1935,7.0,RW
J.T. Compher,223.0,43.0,48.0,91.0,0.408,73.0,2016-2021,5.0,W/C
Dmitri Kvartalnov,112.0,42.0,49.0,91.0,0.813,26.0,1992-1994,2.0,LW
Aaron Gavey,360.0,41.0,50.0,91.0,0.253,272.0,1995-2006,9.0,C
Alex Smith,443.0,41.0,50.0,91.0,0.205,645.0,1924-1935,11.0,D
Rob Ray,900.0,41.0,50.0,91.0,0.10099999999999999,3207.0,1989-2004,15.0,RW
Paul Meger,212.0,39.0,52.0,91.0,0.429,118.0,1949-1955,6.0,LW
Pascal Rheaume,318.0,39.0,52.0,91.0,0.28600000000000003,144.0,1996-2006,9.0,C/LW
Lew Morrison,564.0,39.0,52.0,91.0,0.161,107.0,1969-1978,9.0,RW
Mike Matheson,299.0,33.0,58.0,91.0,0.304,157.0,2015-2021,6.0,D
Brandon Montour,243.0,24.0,67.0,91.0,0.374,140.0,2016-2021,5.0,D
James Sheppard,394.0,23.0,68.0,91.0,0.231,192.0,2007-2015,7.0,C/LW
John Slaney,268.0,22.0,69.0,91.0,0.34,99.0,1993-2004,9.0,D
Geoff Smith,462.0,18.0,73.0,91.0,0.19699999999999998,282.0,1989-1999,10.0,D
Nick Kypreos,442.0,46.0,44.0,90.0,0.204,1210.0,1989-1997,8.0,LW
"Harvey Bennett, Jr.",268.0,44.0,46.0,90.0,0.336,347.0,1974-1979,5.0,C
Frank Carson,248.0,42.0,48.0,90.0,0.363,166.0,1925-1934,7.0,RW
Kasperi Kapanen,202.0,41.0,49.0,90.0,0.446,55.0,2015-2021,6.0,RW/LW
Brian Sutherby,460.0,41.0,49.0,90.0,0.196,533.0,2001-2011,9.0,C
