#,Player,GP,G,A,TP,PPG,PIM,Period,Years,Name,POS
1959.0,Micheal Ferland (LW/RW),335.0,60.0,74.0,134.0,0.4,200.0,2014-2021,7.0,Micheal Ferland ,LW/RW)
1960.0,Rostislav Olesz (LW/RW),365.0,57.0,77.0,134.0,0.36700000000000005,118.0,2005-2014,8.0,Rostislav Olesz ,LW/RW)
1961.0,Chris Thorburn (RW),801.0,53.0,81.0,134.0,0.16699999999999998,968.0,2005-2019,14.0,Chris Thorburn ,RW)
1962.0,Oliver Bjorkstrand (RW/LW),246.0,65.0,68.0,133.0,0.541,35.0,2015-2021,6.0,Oliver Bjorkstrand ,RW/LW)
1963.0,Jack Egers (RW),284.0,64.0,69.0,133.0,0.46799999999999997,154.0,1969-1976,7.0,Jack Egers ,RW)
1964.0,Gus Marker (RW),322.0,64.0,69.0,133.0,0.413,133.0,1932-1942,10.0,Gus Marker ,RW)
1965.0,Ivan Provorov (D),315.0,43.0,90.0,133.0,0.42200000000000004,110.0,2016-2021,5.0,Ivan Provorov ,D)
1966.0,Karl Dykhuis (D),644.0,42.0,91.0,133.0,0.207,495.0,1991-2004,12.0,Karl Dykhuis ,D)
1967.0,Anton Volchenkov (D),696.0,19.0,114.0,133.0,0.191,438.0,2002-2015,12.0,Anton Volchenkov ,D)
1968.0,Jakub Vrána (LW/RW),245.0,65.0,67.0,132.0,0.539,59.0,2016-2021,5.0,Jakub Vrána ,LW/RW)
1969.0,Kyle Clifford (LW),676.0,61.0,71.0,132.0,0.195,842.0,2010-2021,11.0,Kyle Clifford ,LW)
1970.0,Ed Slowinski (RW),291.0,58.0,74.0,132.0,0.45399999999999996,63.0,1947-1953,6.0,Ed Slowinski ,RW)
1971.0,René Corbet (LW),362.0,58.0,74.0,132.0,0.365,420.0,1993-2001,8.0,René Corbet ,LW)
1972.0,Elias Pettersson (C),139.0,55.0,77.0,132.0,0.95,30.0,2018-2021,3.0,Elias Pettersson ,C)
1973.0,Tom Preissing (D),326.0,31.0,101.0,132.0,0.405,78.0,2003-2010,6.0,Tom Preissing ,D)
1974.0,Brent Hughes (D),435.0,15.0,117.0,132.0,0.303,440.0,1967-1975,8.0,Brent Hughes ,D)
1975.0,Billy Boucher (RW),213.0,93.0,38.0,131.0,0.615,409.0,1921-1928,7.0,Billy Boucher ,RW)
1976.0,Bill Lochead (RW),330.0,69.0,72.0,131.0,0.397,180.0,1974-1980,6.0,Bill Lochead ,RW)
1977.0,Matt Martin (LW),692.0,61.0,70.0,131.0,0.18899999999999997,946.0,2009-2020,11.0,Matt Martin ,LW)
1978.0,Cory Cross (D),659.0,34.0,97.0,131.0,0.19899999999999998,684.0,1993-2006,12.0,Cory Cross ,D)
1979.0,Steve Montador (D),571.0,33.0,98.0,131.0,0.22899999999999998,807.0,2001-2012,10.0,Steve Montador ,D)
1980.0,Jack O'Callahan (D),389.0,27.0,104.0,131.0,0.337,541.0,1982-1989,7.0,Jack O'Callahan ,D)
1981.0,Pierre Lacroix (D),274.0,24.0,107.0,131.0,0.478,197.0,1979-1983,4.0,Pierre Lacroix ,D)
1982.0,Pat Quinn (D),606.0,18.0,113.0,131.0,0.21600000000000003,950.0,1968-1977,9.0,Pat Quinn ,D)
1983.0,Ralph Stewart (C),252.0,57.0,73.0,130.0,0.516,28.0,1970-1978,7.0,Ralph Stewart ,C)
1984.0,Jiri Hrdina (C),250.0,45.0,85.0,130.0,0.52,92.0,1987-1992,5.0,Jiri Hrdina ,C)
1985.0,Larry Cahan (D),666.0,38.0,92.0,130.0,0.195,700.0,1954-1971,13.0,Larry Cahan ,D)
1986.0,Jack Lynch (D),382.0,24.0,106.0,130.0,0.34,336.0,1972-1979,7.0,Jack Lynch ,D)
1987.0,Gary Doak (D),789.0,23.0,107.0,130.0,0.165,908.0,1965-1981,16.0,Gary Doak ,D)
1988.0,Karl Alzner (D),686.0,20.0,110.0,130.0,0.19,219.0,2008-2020,12.0,Karl Alzner ,D)
1989.0,Tom Reid (D),701.0,17.0,113.0,130.0,0.185,654.0,1967-1978,11.0,Tom Reid ,D)
1990.0,Odie Cleghorn (RW),181.0,95.0,34.0,129.0,0.713,142.0,1918-1928,10.0,Odie Cleghorn ,RW)
1991.0,Darby Hendrickson (C),518.0,65.0,64.0,129.0,0.249,370.0,1993-2004,11.0,Darby Hendrickson ,C)
1992.0,Ben Clymer (RW/D),438.0,52.0,77.0,129.0,0.295,367.0,1999-2007,7.0,Ben Clymer ,RW/D)
1993.0,Shea Theodore (D),264.0,36.0,93.0,129.0,0.489,89.0,2015-2021,6.0,Shea Theodore ,D)
1994.0,Murray Baron (D),988.0,35.0,94.0,129.0,0.131,1309.0,1989-2004,15.0,Murray Baron ,D)
1995.0,Mike Van Ryn (D),353.0,30.0,99.0,129.0,0.365,260.0,2000-2009,8.0,Mike Van Ryn ,D)
1996.0,Trent Yawney (D),593.0,27.0,102.0,129.0,0.218,783.0,1987-1999,12.0,Trent Yawney ,D)
1997.0,Colin White (D),797.0,21.0,108.0,129.0,0.162,869.0,1999-2012,12.0,Colin White ,D)
1998.0,Hib Milks (F),317.0,87.0,41.0,128.0,0.40399999999999997,179.0,1925-1933,8.0,Hib Milks ,F)
1999.0,Bill Sutherland (C),250.0,70.0,58.0,128.0,0.512,99.0,1962-1972,6.0,Bill Sutherland ,C)
2000.0,Dave Forbes (LW),363.0,64.0,64.0,128.0,0.353,341.0,1973-1979,6.0,Dave Forbes ,LW)
2001.0,Sam Bennett (C/LW),364.0,63.0,65.0,128.0,0.35200000000000004,300.0,2014-2021,7.0,Sam Bennett ,C/LW)
2002.0,Radek Faksa (C),351.0,60.0,68.0,128.0,0.365,215.0,2015-2021,6.0,Radek Faksa ,C)
2003.0,Denis Pederson (C),435.0,57.0,71.0,128.0,0.294,398.0,1995-2003,8.0,Denis Pederson ,C)
2004.0,Wayne Carleton (LW),278.0,55.0,73.0,128.0,0.46,172.0,1965-1972,7.0,Wayne Carleton ,LW)
2005.0,Mats Lindgren (C),387.0,54.0,74.0,128.0,0.331,146.0,1996-2003,7.0,Mats Lindgren ,C)
2006.0,Erik Rasmussen (C),545.0,52.0,76.0,128.0,0.235,305.0,1997-2007,9.0,Erik Rasmussen ,C)
2007.0,Bob Stewart (D),575.0,27.0,101.0,128.0,0.223,809.0,1971-1980,9.0,Bob Stewart ,D)
2008.0,Colin Campbell (D),636.0,25.0,103.0,128.0,0.201,1292.0,1974-1985,11.0,Colin Campbell ,D)
2009.0,Mike Robitaille (D),382.0,23.0,105.0,128.0,0.335,280.0,1969-1977,8.0,Mike Robitaille ,D)
